,store,sido,gungu,store_address
301,목동시장점,서울특별시,양천구,서울특별시 양천구 목동중앙남로10길 7
302,목상석봉점,대전광역시,대덕구,"대전광역시 대덕구 대덕대로1454 11-6(목상동,1층)"
303,목행점,충청북도,충주시,충청북도 충주시 행정10길 10(목행동)
304,무거1점,울산광역시,남구,울산광역시 남구 신복로23번길 15(무거동)
305,무실점,강원도,원주시,강원도 원주시 시청로 88-1
306,무주점,전라북도,무주군,전라북도 무주군 무주읍 향학로 42
307,무지개점,경기도,성남시분당구,"경기도 성남시분당구 미금로 23 (구미동, 무지개마을)  106호"
308,묵동점,서울특별시,중랑구,서울특별시 중랑구 동일로149길 15
309,묵호점,강원도,동해시,"강원도 동해시  발한로 137(발한동, 가동)"
310,문경점,경상북도,문경시,경상북도 문경시 문경읍 주흘로 29
311,문덕점,경상북도,포항시남구,경상북도 포항시남구 오천읍 해병로 405 청호아파트상가 101호  
312,문막점,강원도,원주시,강원도 원주시 문막읍 문막시장1길 55-2
313,문산점,경기도,파주시,"경기도 파주시 문산읍 문향로 82,  102호"
314,문정점,서울특별시,송파구,"서울특별시 송파구 송이로33길 6-17(문정동, 지상1층)"
315,문촌점,경기도,고양시일산서구,경기도 고양시일산서구 대산로 183
316,문학점,인천광역시,미추홀구,"인천광역시 미추홀구 승학길 4(문학동, 101호)"
317,문화동점,충청북도,충주시,충청북도 충주시 사직산1길 15-11(문화동)
318,문화점,대전광역시,중구,대전광역시 중구 보문산로161번 61
319,미금점,경기도,성남시분당구,경기도 성남시분당구 미금일로 55 상가동108호
320,미룡산북점,전라북도,군산시,전라북도 군산시 부곡로 125(미룡동)
321,미사1점,경기도,하남시,"경기도 하남시 미사강변중앙로 223, 113호 (망월동, 센트럴파크1)"
322,미아점,서울특별시,강북구,서울특별시 강북구 도봉로29길 10 1층
323,미원점,충청북도,청주시상당구,충청북도 청주시상당구 미원면 미원시내2길 19-3
324,민락점,경기도,의정부시,경기도 의정부시 오목로 99
325,박달동점,경기도,안양시만안구,경기도 안양시만안구 박달로 471
326,반구점,울산광역시,중구,울산광역시 중구 화합로 403 (반구동)
327,반달마을점,경기도,부천시원미구,경기도 부천시원미구 상일로 69 1층
328,반송2점,부산광역시,해운대구,부산광역시 해운대구 반송로924번길 27-2
329,반월점,전라북도,전주시덕진구,전라북도 전주시덕진구 반월3길 19 (반월주공아파트상가 104호)
330,발산동점,서울특별시,강서구,서울특별시 강서구 우장산로 9(내발산동)
331,방어진점,울산광역시,동구,울산광역시 동구 화문로 75
332,방이2점,서울특별시,송파구,"서울특별시 송파구 오금로23길 25, 나동 1층 (방이동)"
333,방화1점,서울특별시,강서구,서울특별시 강서구 양천로11길 8(방화동 487-8 1층)
334,방화2점,서울특별시,강서구,"서울특별시 강서구 방화동로 116-1(방화동, 1층)"
335,배곧1점,경기도,시흥시,경기도 시흥시 서울대학로278번길 25-8
336,배방점,충청남도,아산시,충청남도 아산시 배방읍 모산로 172
337,배시내점,경상북도,김천시,경상북도 김천시 감문면 배시내길14
338,백련시장점,서울특별시,서대문구,서울특별시 서대문구 증가로 135(남가좌동)
339,백사점,경기도,이천시,경기도 이천시 백사면 현방로 78-2
340,백암점,경상북도,울진군,경상북도 울진군 온정면 소태로 3
341,백양사점,전라남도,장성군,전라남도 장성군 북하면 백양로 904
342,백천점,경상북도,경산시,경상북도 경산시 백천동 경청로219길 4-6 108호 
343,백학점,경기도,연천군,경기도 연천군 백학면 백두길 69-4
344,번동점,서울특별시,강북구,서울특별시 강북구 오현로32길 4-3 1층 5호
345,범서점,울산광역시,울주군,울산광역시 울주군 범서읍 점촌5길 37
346,범어점,경상남도,양산시,경상남도 양산시 물금읍 동중5길22
347,범어B점,대구광역시,수성구,대구광역시 수성구 동대구로77길 24
348,법1동점,대전광역시,대덕구,대전광역시 대덕구 계족로 663번길 30
349,법2동점,대전광역시,대덕구,대전광역시 대덕구 계족산로17번길 81
350,법원점,경상북도,포항시북구,경상북도 포항시북구 장량중앙로 84
351,별내점,경기도,남양주시,경기도 남양주시 별내중앙로 26
352,병점점,경기도,화성시,경기도 화성시 병점로 58(병점동)
353,병천점,충청남도,천안시동남구,충청남도 천안시동남구 병천면 아우내장터2길 46
354,보개점,경기도,안성시,경기도 안성시 보개면 남사당로 1-3
355,보광2점,서울특별시,용산구,"서울특별시 용산구 장문로6길 101, 지상1층(동빙고동 1-9)"
356,보라점,경기도,용인시기흥구,경기도 용인시기흥구 사은로 116
357,보령웅천점,충청남도,보령시,충청남도 보령시 웅천읍 충서로 872
358,보은점,충청북도,보은군,충청북도 보은군 보은읍 삼산로 31
359,복대점,충청북도,청주시흥덕구,충청북도 청주시흥덕구 복대로 199번길 3
360,복수점,대전광역시,서구,대전광역시 서구 복수북로 61
361,본리점,대구광역시,달서구,대구광역시 달서구 대명천로42길 26
362,본오2점,경기도,안산시상록구,경기도 안산시상록구 각골로 123
363,봉곡점,경상북도,구미시,경상북도 구미시 봉곡남로9길 35
364,봉담와우리점,경기도,화성시,경기도 화성시 봉담읍 와우로15번길 55-9 효성@상가1층
365,봉담점,경기도,화성시,경기도 화성시 봉담읍 진등1길 57-1
366,봉덕2점,대구광역시,남구,대구광역시 남구 대봉로 35
367,봉동주공점,전라북도,완주군,전라북도 완주군 봉동읍 낙평리 1245 104호
368,봉산점,강원도,원주시,강원도 원주시 치악로 1867 (봉산동)
369,봉암리점,경기도,양주시,경기도 양주시 은현면 은현로 521
370,봉일천점,경기도,파주시,경기도 파주시 조리읍 두루봉로 5
371,봉천현대점,서울특별시,관악구,"서울특별시 관악구 양녕로 35-1, 1층(봉천동)"
372,봉평점,강원도,평창군,강원도 평창군  봉평면 기풍3길 28
373,봉화점,경상북도,봉화군,경상북도 봉화군 봉화읍 내성리 236-17
374,부강점,세종특별자치시,부강면,세종특별자치시  부강면 부강2길 11
375,부개주공점,인천광역시,부평구,"인천광역시 부평구 부개로 79, (부개동,부개택지개발1블럭)"
376,부곡점(안산),경기도,안산시상록구,"경기도 안산시상록구 성호로 258, 안산제2종합시장 1003호"
377,부곡점(의왕),경기도,의왕시,경기도 의왕시 솔밭길 31
378,부발점,경기도,이천시,경기도 이천시 부발읍 무촌로 137
379,부산송정점,부산광역시,해운대구,부산광역시 해운대구 송정중앙로 15-1
380,부산신평점,부산광역시,사하구,부산광역시 사하구 다대로142번길 130(신평동)
381,부산지사, ,,
382,부석점,경상북도,영주시,경상북도 영주시 부석면 소천리 381-7
383,부송점,전라북도,익산시,전라북도 익산시 부송1로 65
384,부안점,강원도,춘천시,강원도 춘천시 후석로 261(후평동)
385,부여점,충청남도,부여군,충청남도 부여군 부여읍 성왕로 173번길 12
386,부평점,인천광역시,부평구,"인천광역시 부평구 부평문화로115 번길7, 1층(부평동)"
387,북가좌1점,서울특별시,서대문구,"서울특별시 서대문구 증가로20길 71, 1층(북가좌동)"
388,북가좌2점,서울특별시,서대문구,서울특별시 서대문구 거북골로 148(북가좌동)
389,북내점,경기도,여주시,경기도 여주시 북내면  여양2로 267
390,북문점,경기도,수원시장안구,경기도 수원시장안구 팔달로259번길 9
391,북변점,경기도,김포시,"경기도 김포시 봉화로182번길 29, 113호"
392,북부점(경주),경상북도,경주시,경상북도 경주시 북성로 96
393,북삼점,경상북도,칠곡군,경상북도 칠곡군 북삼읍 평원2길 15
394,북평점,강원도,동해시,강원도 동해시  대동로 131(북평동)
395,분당동점,경기도,성남시분당구,경기도 성남시분당구 수내로 201
396,분평동점,충청북도,청주시서원구,충청북도 청주시서원구 청남로 2005번길 27
397,불광동점,서울특별시,은평구,서울특별시 은평구 불광로 192
398,불노지구점,인천광역시,서구,"인천광역시 서구 검단로 842, 중앙상가동 1층 153호"
399,불당점,충청남도,천안시서북구,충청남도 천안시서북구 불당5길 23
400,비래가양점,대전광역시,동구,대전광역시 동구 가양2동  31-5 1층
401,비산1동점,경기도,안양시동안구,"경기도 안양시동안구 경수대로 946, 111호 (비산동, 대광로제비앙)"
402,비산삼호점,경기도,안양시동안구,경기도 안양시동안구 동안로 259
403,비산B점,대구광역시,서구,대구광역시 서구 통학로48길 35
404,비인점,충청남도,서천군,충청남도 서천군 비인면 비인로 158-1
405,사당4점,서울특별시,동작구,서울특별시 동작구 동작대로7길 34
406,사동2점,경기도,안산시상록구,"경기도 안산시상록구 감골로 43(사동, 102호)"
407,사동리점,경기도,이천시,경기도 이천시 대월면 사동로 162
408,사동점,경기도,안산시상록구,경기도 안산시상록구 후곡4길 25
409,사북점,강원도,정선군,강원도 정선군  사북읍 사북중앙로 13
410,사우동점,강원도,춘천시,강원도 춘천시 영서로 2818(사농동)
411,사우지구점,경기도,김포시,경기도 김포시 김포대로926번 131
412,사직점,부산광역시,동래구,부산광역시 동래구 석사북로 33
413,사창동점,충청북도,청주시서원구,충청북도 청주시서원구 1순환로 698(사창동)
